1.400,Vivendi shares closed 1.9 percent at 15.80 euros in Paris after falling 3.6 percent on Monday.,"In New York, Vivendi shares were 1.4 percent down at $18.29."
4.000,Both rebels and government forces have been accused of pillaging villages in Liberia's countryside despite the peace agreement.,"Both rebels and government forces, including those loyald to Taylor, have been accused of pillaging villages in Liberia's countryside despite a peace deal."
4.750,Microsoft has been awarded a patent for a feature in instant messaging that alerts a user when the person they are communicating with is inputting a message.,Microsoft has been awarded a patent on a popular instant-messaging feature that shows users when the person on the other end of the conversation is typing a message.
1.500,The arrests revealed new details about the four-month investigation at Selenski's Mount Olivet Road home.,Kerkowski and Fassett's bodies were unearthed at Selenski's Mount Olivet Road home on June 5.
3.067,We intend to appeal vigorously and still expect to be vindicated ultimately.,"We think this was bad law, and we still expect to be vindicated ultimately."
2.750,"Under Kansas law, it is illegal for children under the age of 16 to have sexual relations.","In the opinion, Kline noted that it is illegal for children that young to have sexual relations."
3.500,The transaction will expand Callebaut's sales revenues from its consumer products business to 45 percent from 23 percent.,The transaction will expand Callebaut's sales revenues from its consumer products business by around 45 percent to some one-third of total sales.
3.250,"Indonesia's army has often been accused of human rights abuses during GAM's battle for independence, charges it has generally denied while accusing the separatists of committing rights violations.","Indonesia's army has been accused of human rights abuses during its earlier battles with GAM, charges it has generally denied."
3.750,Iraq's economy was ravaged during years of U.N. sanctions over ex-president Saddam Hussein's 1990 occupation of Kuwait and by the U.S.-led war to oust him which ended in April.,Iraq's economy was shattered under former president Saddam Hussein and by the U.S.-led war to oust him which ended in April.
3.800,One had also pointed to the word refugee in an English/Turkish dictionary.,"One man had brandished an English-Turkish dictionary and pointed to the word ""refugee""."
4.000,"The bulk of the funds, some $65 billion, will go for military operations in Iraq and Afghanistan.",The bulk of the bill - $64.7 billion - goes for military operations primarily in Iraq and Afghanistan.
4.800,"Dolores Mahoy, 68, of Colorado Springs, Colo., is someone who might be helped by the legislation pending in Congress.","Dolores E. Mahoy, 68, of Colorado Springs is just the type of person who might be helped by the legislation pending in Congress."
2.200,Advancing issues outnumbered decliners about 8 to 5 on the New York Stock Exchange.,Declining issues outnumbered advancers slightly more than 3 to 1 on the New York Stock Exchange.
3.250,A beauty contest to be held in Italy next week may be the first for pixel-perfect pin-ups.,A new beauty contest kicking off in Italy next week will give pixel-perfect pin-ups the chance to steal sultry Sophia's sex-symbol status.
2.500,"Analysts' consensus estimate from Thomson First Call was for a loss of $2.08 a share, excluding one-time items.",The estimate of analysts surveyed by Thomson First Call was for a loss of $2.75 a share.
2.250,Boeing's board is also expected to decide at its December meeting whether to offer the airplane for sale to airlines.,It is widely expected to give Bair formal approval to offer the plane for sale to airlines.
2.750,"Bush said resistance forces hostile to the U.S. presence ""feel like ... the conditions are such that they can attack us there.",There are some who feel like the conditions are such that they can attack us there.
4.750,Defense lawyers had said a change of venue was needed because massive pretrial publicity had tainted the jury pool against their client.,Defense lawyers had requested a change of venue for two reasons: They argued that massive pretrial publicity had tainted the jury pool against their client.
3.500,"Founded in 1996, the LendingTree exchange consists of more than 200 banks, lenders, and brokers.","LendingTree matches borrowers via the Internet with more than 200 mortgage brokers, banks and other lenders."
3.250,Most taxpayers will get surprise tax cuts of between $4 and $11 a week from July 1.,Australia's 9 million income taxpayers received surprise tax cuts of between $3 and $11 a week from Treasurer Peter Costello last night.
3.000,"Gyorgy Heizler, head of the local disaster unit, said the coach was carrying 38 passengers.","The head of the local disaster unit, Gyorgy Heizler, said the coach driver had failed to heed red stop lights."
1.500,"Tuition at four-year private colleges averaged $19,710 this year, up 6 percent from 2002.","For the current academic year, tuition at public colleges averaged $4,694, up almost $600 from the year before."
2.000,"The statewide unemployment rate fell to 6.4 percent, down from a revised 6.7 percent in August.","The unemployment rate in San Joaquin County dipped last month to 8.5 percent, down nearly a full percentage point from August."
3.000,Security lights have also been installed and police have swept the grounds for booby traps.,Security lights have also been installed on a barn near the front gate.
4.750,But U.S. troops will not shrink from mounting raids and attacking their foes when their locations can be pinpointed.,But American troops will not shrink from mounting raids in the locations of their foes that can be pinpointed.
4.778,Moore had no immediate comment Tuesday.,Moore did not have an immediate response Tuesday.
3.200,A judge ordered the child placed in state custody Aug. 8.,"On Aug. 8, Juvenile Court Judge Robert Yeates ordered that Parker be placed in protective custody."
3.200,"But White House spokesman Ari Fleischer said yesterday: ""The steps the Iranians claim to have taken in terms of capturing al-Qa'ida are insufficient.""","""The steps that the Iranians claim to have taken in terms of capturing al-Qaida are insufficient."
4.364,The results were released at Tuesday's meeting in Seattle of the American Thoracic Society and will be published in Thursday's New England Journal of Medicine.,The study results were released at a meeting in Seattle of the American Thoracic Society and also will be published in tomorrow's issue of The New England Journal of Medicine.
3.800,His dissent was joined by Chief Justice William H. Rehnquist and Justice Clarence Thomas.,Chief Justice William H. Rehnquist and Justices Antonin Scalia and Clarence Thomas dissented.
4.400,United already has paid the city $34 million in penalties for not meeting the first round of employment targets.,United has paid $34 million in penalties for failing to meet employment targets.
4.500,"Shelley's office reported Friday that 575,926 signatures have been reported to him.","Shelley's office released signature counts late Friday and said counties had reported counting 575,926 signatures so far."
4.000,"Bush wanted ""to see an aircraft landing the same way that the pilots saw an aircraft landing,"" White House press secretary Ari Fleischer said yesterday.","On Tuesday, before Byrd's speech, Fleischer said Bush wanted ''to see an aircraft landing the same way that the pilots saw an aircraft landing."
1.500,"Standing with reporters and photographers about 150 yards from the prison gates was Brent Newbury, president of the Rockland County Patrolmen's Benevolent Association.","""The whole thing is a travesty,"" fumed Brent Newbury, president of the Rockland County Patrolmen's Benevolent Association."
